127.0.0.1 - - [03/Apr/2020:16:34:59 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:34:59 +0900] "GET /ex03/ex01.html HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:35:13 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:35:55 +0900] "GET /ex03/ex01.html HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:17 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:18 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:25 +0900] "GET /ex03/ex01.html HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:42 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:43 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:43 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:43 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:43 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:43 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:46 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:46 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:46 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:46 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:46 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:46 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:36:47 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
